otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title
otu63162	Melanconis stilbostoma	1082188	172185	-	None	True	original	Melanconis_stilbostoma	-
otu63156	Winterella hypodermia	5319203	0	-	None	True	original	Cryptosporella_hypodermia	-
otu63157	Gnomonia gnomon	343688	187234	-	None	True	original	Gnomonia_gnomon	-
otu63160	Diaporthe aesculi	725104	0	-	None	True	original	Cryptodiaporthe_aesculi	-
otu63159	Apiognomonia errabunda	157305	124133	-	None	True	original	Apiognomonia_errabunda	-
otu63158	Plagiostoma euphorbiae	822571	148338	-	None	True	original	Plagiostoma_euphorbiae	-
otu63167	Cryphonectria parasitica	103005	5116	-	None	True	original	Cryphonectria_parasitica	-
otu63166	Cryphonectria nitschkei	918891	187221	-	None	True	original	Cryphonectria_nitschkei	-
otu63165	Chrysoporthe cubensis	1052899	305400	-	None	True	original	Chrysoporthe_cubensis	-
otu63164	Endothia radicalis	5316851	2072832	-	None	True	original	Endothia_gyrosa	-
otu63163	Amphilogia gyrosa	1095058	114682	-	None	True	original	Amphilogia_gyrosa	-
otu63149	Calosphaeria pulchella	324855	312312	-	None	True	original	Calosphaeria_pulchella	-
otu63148	Pleurostoma ootheca	743927	308474	-	None	True	original	Pleurostoma_ootheca	-
otu63169	Lanspora coronata	121217	45830	-	None	True	original	Lanspora_coronata	-
otu63170	Phomatospora bellaminuta	1086864	561985	-	None	True	original	Phomatospora_bellaminuta	-
otu63168	Papulosa amerospora	77437	101488	-	None	True	original	Papulosa_amerospora	-
otu63171	Ceratocystis pilifera	5316941	0	-	None	True	original	Ophiostoma_piliferum	-
otu63172	Ceratocystis stenoceras	5316943	0	-	None	True	original	Ophiostoma_stenoceras_1	-
otu63173	Ceratocystis stenoceras	5316943	0	-	None	True	deleted in reconciliation	Ophiostoma_stenoceras_2	-
otu63175	Annulusmagnus triseptatus	974230	293432	-	None	True	original	Annulusmagnus_triseptatus	-
otu63174	Mycothyridium vestitum	5298733	265083	-	None	True	original	Thyridium_vestitum	-
otu63177	Magnaporthe grisea	258235	148305	-	None	True	original	Magnaporthe_grisea	-
otu63176	Gaeumannomyces medullaris	1086862	561983	-	None	True	original	Gaeumannomyces_medullaris	-
otu63516	Pneumocystis carinii	352919	4754	-	None	True	original	Pneumocystis_carinii	-
otu63517	Schizosaccharomyces pombe	990004	4896	-	None	True	original	Schizosaccharomyces_pombe	-
otu63521	Taphrina deformans	406032	5011	-	None	True	original	Taphrina_deformans	-
otu63520	Taphrina wiesneri	958917	5012	-	None	True	original	Taphrina_wiesneri	-
otu63519	Protomyces inouyei	615479	27332	-	None	True	original	Protomyces_inouyei	-
otu63518	Saitoella complicata	818008	5606	-	None	True	original	Saitoella_complicata	-
otu63515	Neolecta vitellina	75911	29826	-	None	True	original	Neolecta_vitellina	-
otu63514	Neolecta irregularis	998160	48691	-	None	True	original	Neolecta_irregularis	-
otu63088	Rhizopus liquefaciens	530834	0	-	None	False	original	Rhizopus_oryzae	-
